place_id,name,address,latitude,longitude,rating,user_ratings_total,price_level,cuisine,types,phone,website,url,scrape_timestamp
ChIJw8PoGJLzwjsR4JAip1IInpo,Shree Datta Snacks,"BPCL Company Pump Warve, NH 4, Pune - Satara Rd, near Hotel Nataraj, Pune",18.2997949,73.874494,4.0,122.0,,Indian,"restaurant, food, point_of_interest, establishment",,https://shreedattasnacksexpressway.com/,,2025-10-18T11:18:48.917848
ChIJzfjgjz3xwjsRbfbILbbVBC4,Purandar Vada Misal House,"Saswad Road, Narayanpur, Pur",18.3076235,73.9794398,4.6,100.0,,Indian,"restaurant, point_of_interest, food, establishment",+91 96734 22214,,,2025-10-18T11:18:52.023322
ChIJ2V7W3O7xwjsRz_S3a3Kgzh4,Hotel Purandar Pride,"Datta mandir, Narayanpur, Pur",18.3035334,73.97606,4.1,98.0,,Indian,"restaurant, point_of_interest, food, establishment",+91 96234 04041,,,2025-10-18T11:18:52.408665
ChIJk5B2V0vxwjsRX5yMqBhb5RY,hotel shet mala,"7XWG+JR6, Purandar Rd, Panvadi",18.2965358,73.97701359999999,3.8,82.0,,Indian,"restaurant, point_of_interest, food, establishment",,,,2025-10-18T11:18:52.749173
ChIJwZjPRLPxwjsRSy-CMCtJyz4,Hotel Patilwada,Panavadi Purandar,18.2839286,74.0223383,4.8,29.0,,Indian,"lodging, restaurant, point_of_interest, food, establishment",+91 88051 64646,,,2025-10-18T11:18:54.556550
ChIJK1gq85z7wjsRkVCgEeHchJg,Morya Pure Veg and Snacks centre,"AP St, Shivri, Pune",18.3065196,74.0942584,4.0,76.0,,Indian,"meal_takeaway, restaurant, food, point_of_interest, establishment",+91 75172 41541,,,2025-10-18T11:18:56.351053
ChIJe7ac10btwjsREajpSyPzHFY,Trupti Authentic Indian Veg,"A/P Shivare,next to, banglore higway, Khed-Shivapur Toll Plaza, Pune",18.319777,73.85879,3.6,3880.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 90961 42403,,,2025-10-18T11:19:04.387875
ChIJ-RHiKKTqwjsRPr5HBYXjhW4,Shiv Sunder Garden,"Near Wadia Hospital Shivapur, Satara Rd, Pune",18.3380055,73.8527424,4.2,187.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 97679 09031,,,2025-10-18T11:19:04.675878
ChIJz1F1ogDtwjsR7f45V_deQmw,Shree Krishnaleela Pure Veg,"Pune - Satara Rd, Shivare, Pune",18.3147483,73.86296279999999,4.5,103.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 87676 50934,,,2025-10-18T11:19:04.978943
ChIJRR5R7_jtwjsRpOOIQX5bktw,NH-4 BAR N RESTRO,"Khed Shivapur-Kondanpur Rd, Pune",18.335179,73.854807,4.6,856.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 72196 57777,,,2025-10-18T11:19:05.286784
ChIJv-ftuW_twjsRh85S1D-56eY,Joshi Wadewale - Khed Shivapur,"S No 931, Near Khed Shivapur, Pune-Banglore, Highway, Pune",18.3375589,73.8534581,3.3,876.0,2.0,Indian,"meal_takeaway, store, restaurant, food, point_of_interest, establishment",+91 97672 21010,http://www.joshiwadewale.co.in/,,2025-10-18T11:19:05.597492
ChIJY-H2QDjtwjsRfAOgV7_VDg0,Hotel Maratha Gaoran,"8VF4+H4J, Pune",18.3239308,73.85528930000001,4.1,46.0,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:19:05.898197
ChIJT9gsFlXtwjsRm1FZ-d_Z7N4,Joshi Wadewale - Khed Shivapur Toll Plaza,"SR No.780 Khed Shivapur, near Toll Plaza, Pune",18.3375089,73.8534681,3.1,588.0,,Indian,"meal_takeaway, store, restaurant, food, point_of_interest, establishment",,http://www.joshiwadewale.co.in/,,2025-10-18T11:19:06.174350
ChIJpdgu3x_twjsRCeV-fsMKync,Sudama Bhel & South Indian Corner,"Sudama Bhel and South Indian Corner, near Khed-Shivapur Toll Plaza, Khed Shivapur",18.3327498,73.8522835,5.0,6.0,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:19:06.460485
ChIJvfBeab3vwjsRgzk_YKuJrIo,INDIAN SPICE HOTEL,"82H6+953, Diwale-Narayanpur Rd, Supe Kh.",18.3283877,74.01041649999999,4.3,66.0,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:19:10.753132
ChIJ9eTCyrblwjsR3YavhByIiEg,GAVKARI,"Shop no 01, Hadapsar - Saswad - Jejuri Rd, near Veer Phata, Kumbharwada, Saswad",18.338477,74.0356321,4.2,818.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",+91 96969 63618,,,2025-10-18T11:19:12.068448
ChIJy7sIZyblwjsRySg-iNCur-o,Grand Malhar Family Restaurant,"Jejuri, Road, Saswad",18.3368188,74.03602819999999,4.0,659.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 95450 20201,,,2025-10-18T11:19:12.388660
ChIJhcqyMPXvwjsRA0C_tQRMcwM,Karha's Swad Restaurant,"Near saswad court, On saswad narayanpur road, Pune",18.3366206,74.0281023,4.2,1236.0,2.0,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:19:12.685920
ChIJa65Ne5_lwjsR7Q7VN2beXp8,Kulswamini Special Bhigwan Machhi,"82QP+G79, near Borkar nursery, Saswad",18.3388038,74.0356907,4.0,247.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 98505 58671,,,2025-10-18T11:19:13.002761
ChIJsahxzOXlwjsRDBg6qMKDXss,Hotel Dhangarwada Family Garden Saswad,"Veer phata, Hadapsar - Saswad - Jejuri Rd, Saswad",18.3374566,74.0361089,4.5,36.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 91129 28122,,,2025-10-18T11:19:13.311883
ChIJ38PmpSPvwjsRF-IVIj8wG3Q,Mahabarachi Misal,"Shop No, 1, Hadapsar - Saswad - Jejuri Rd, Khalad",18.3297885,74.059534,4.3,381.0,,Indian,"restaurant, food, point_of_interest, establishment",,,,2025-10-18T11:19:14.526540
ChIJM1xrQgDlwjsROPA4BjJ44sM,Hotel Sai malhar family garden restaurant,"83J3+XRF, Hadapsar - Saswad - Jejuri Rd, Hadapsar, Gotemal, Saswad",18.332603,74.05455320000002,3.7,19.0,,Indian,"restaurant, food, point_of_interest, establishment",+91 78551 11185,,,2025-10-18T11:19:14.839125
