timestamp,query,latency_sec,top_names,extras
2025-10-18T14:07:01.265932,Hii,1.111,Hi On Chai ( Wakad) | PN Paratha Hub | Bella Italia Resto | Boudi's Kitchen [Cloud Kitchen] | Haldiram's,"{'cuisines': None, 'min_rating': 0.0, 'open_now': False, 'budget': 'any'}"
2025-10-18T14:12:15.757157,cheap restaurant in Pune in Hinjawadi,0.576,"Hotel Rajyog Family Restaurant | The Cheesy Place - Best Pizza/Pasta/Burger/Cold Coffee | Skewers Top-Up Bar | Shahi Aroma Biryani,Kebab,Rolls and More. | The Village 9, Kitchen & Bar","{'cuisines': None, 'min_rating': 0.0, 'open_now': False, 'budget': 'low'}"
2025-10-18T14:12:54.183911,bad rating restaurant in Pune,0.467,Restaurant | Sairup hill Family Restaurant | Aayodhya Pure Veg Restaurant | Log House Restaurant | Swagat Family Restaurant,"{'cuisines': None, 'min_rating': 0.0, 'open_now': False, 'budget': 'any'}"
2025-10-18T14:28:35.686656,bad rating restaurant in Pune,4.327,Restaurant | Sairup hill Family Restaurant | Aayodhya Pure Veg Restaurant | Log House Restaurant | Swagat Family Restaurant,"{'cuisines': None, 'min_rating': 3.5, 'open_now': True, 'budget': 'any'}"
2025-10-18T19:14:45.942109,worst restaurant in pune,3.044,The Cheesy Place - Best Pizza/Pasta/Burger/Cold Coffee | RamKrishna Restaurant | CHEESY WADEWALE | The Chinese Restaurant | Restaurant,"{'cuisines': None, 'min_rating': 0.0, 'open_now': False, 'budget': 'any'}"
